Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1246204	0.0543761239131262	0	0	0	0	0.107144814330306	0	0.0560961493665919	0.0224586274168216	0	0.0276273237108537	0	0	0.0536387140884526	0.0589785458772951	0.5373356992829	0.0148497081753272	0	0.0674942938383256	0	0	0	0.012	0.284538791804245	0.966020159363852
GSM1246205	0.0716041386581883	0	0.00924984204302777	0	0	0.0867269568631727	0	0.0202480561372912	0.00126457281064481	0	0	0.0381945938053632	0	0	0.0197471091535238	0.601184307321358	0	0	0.151780423207431	0	0	0	0.001	0.467739479708121	0.884299272951183
GSM1246206	0.0750237251010424	0	0.0307137061820981	0.0683169079616757	0	0.106746191868902	0	0	0.0377840266392252	0	0.0306869387700189	0	0	0	0.022144911244851	0.559007406396719	0.0426171067188333	0	0.0269590791166334	0	0	0	0.025	0.236331791914451	0.985541065662411
GSM1246207	0.0945612544627304	0	0	0	0.0298419570848935	0	0	0.0517618286428268	0.0082184584530067	0.0261527142634347	0.0599102462487523	0	0	0	0.0568791710667116	0.587838127685778	0	0	0.059691385192006	0.0251448568998598	0	0	0.015	0.265115941529756	0.977252285771958
GSM1246208	0.026889833026629	0	0	0	0	0.110120312007392	0	0.0517868477296105	0	0	0	0.0609086635083558	0.00968081568036958	0	0.149102705260564	0.451075536896008	0.0452389345531678	0	0.0951963513379038	0	0	0	0.003	0.410773499212074	0.911726144554154
GSM1246214	0.0167570875508548	0	0.0250116659342279	0.0168352316115402	0	0.091140672419357	0	0.022534547850804	0.00463395409331686	0.0953543233900564	0	0	0	0.23109653526951	0.0679213093791794	0.326018985247104	0.0170252988452576	0	0.082090970964703	0	0	0.00357941744408944	0.001	0.48422214377805	0.879991423301918
GSM1246215	0.0245281013132969	0	0.0614431151845353	0.0315946535310772	0	0.0163739849686473	0.00825971223925532	0.0447813715016541	0	0.0889344828891357	0.0216984005792542	0	0.022198637767181	0.0014815201592223	0.0860584387672029	0.377656322878517	0.058398258591118	0	0.137078739904149	0.0163716810503747	0	0.00314257867537893	0	0.604693446278706	0.821656319422882
GSM1246216	0.0547017053857722	0	0.00424232291641208	0.0744494799820569	0	0.035057940129603	0.00406678853314202	0.0238699312638526	0	0.0326227698185676	0.0136861611432741	0	0.00824642397148032	0.022542129848779	0.072581642212646	0.537598361619495	0.0320943402898275	0	0.0488264886940351	0.0257144303718854	0	0.00969908381917095	0	0.567785140923506	0.834585180053236
GSM1246217	0.0359311360820516	0	0.0116702084568541	0.0188798197501505	0	0.0284565288619037	0.0132465693003763	0.0261038510879288	0	0.094199081993662	0	0.00863758222555879	0	0.198535651823335	0.0906919102028568	0.364653088597926	0.00831155370962815	0	0.0905266767615514	0	0	0.0101563411462164	0	0.527026090782456	0.857561792998575
GSM1246218	0.0115467524085109	0.00448102141049153	0.0826615244923472	0.0056201858573545	0	0.0458785308459626	0	0.0314041068846173	0.0365104281961121	0.0192802728363808	0.00894226068938708	0	0	0.192048016366529	0.0657092467234014	0.365599991084465	0.0120438158450586	0	0.11709952475088	0	0	0.00117432160850258	0	0.609024473227905	0.827157639266075
GSM317342	0.0494279132693169	0	0.0466363836275516	0	0	0.0526668879545422	0.048737313387323	0	0	0.131566966683332	0	0	0	0.0639109403582445	0.0639317051704457	0.450966644307952	0	0	0.0797027180708925	0	0	0.0124525271704	0	0.594135714897791	0.828694483759468
GSM317343	0.0218591362236318	0	0.0188322256208358	0.0183631378311407	0	0.122749424758565	0	0	0.0131672657317423	0.0297817969590986	0	0	0	0	0.0597422332484629	0.567034719899881	0	0	0.107579541756465	0	0	0.0408905179701767	0.00900000000000001	0.319284078687968	0.95268659223352
GSM317344	0.0433059548201475	0	0.0147780791415272	0	0	0.150127756010827	0	0.0123492383521452	0	0.114648499585684	0	0.0150902541543071	0	0.00981783805982977	0.0925298410485534	0.445363015592934	0	0	0.0957112859379122	0	0	0.00627823729613194	0.004	0.395447365048592	0.91749064803776
GSM317345	0.0333589849106189	0	0.0503321440398766	0.00848092389619938	0	0.0856550456125844	0	0.00519521195896834	0	0.0361122635448824	0.00242174539270611	0	0	0	0.0429073903079474	0.595643077819524	0	0	0.107850623780797	0	0	0.0320425887358956	0.002	0.460507228756281	0.887796107124356
GSM317346	0.0189483048548421	0	0.0592913870608856	0.014006466250636	0	0.161386057103453	0	0	0	0.0250022452826132	0.00850128576017602	0	0.00240806004474566	0	0.042487354141832	0.537659935610869	0	0	0.0716529607663947	0.0275733011115624	0	0.0310826420119897	0.003	0.406643776812505	0.912894146419528
GSM317347	0.0254783357794484	0	0.0273389984336002	0.0431382824580204	0	0.0752289602731434	0	0.00295440936664402	0.0104437174595082	0.0315963443163989	0.00873009772586635	0	0	0.0347046670140601	0.0677326644112774	0.537482269597827	0	0	0.106195480935152	0	0	0.0289757722290538	0	0.571337594864958	0.833869742427025
GSM317348	0.0090374032375506	0.00117462619440535	0.0212333520267245	0	0	0.0728393455213698	0	0	0	0.113143153827516	0	0	0.0142731135780036	0.103620982718218	0.0763218217375433	0.466252012215556	0	0	0.122104188943113	0	0	0	0	0.520087908297615	0.859354620344391
GSM317349	0.00750144642284846	0	0.0284875608496575	0.00207023797389282	0	0.0466740312201766	0	0	0.00605774375492794	0.120151497839201	0	0	0.0012718875776771	0.155534718087399	0.0735554071712232	0.428801840809916	0	0	0.12989362829308	0	0	0	0	0.602504915683244	0.819699243491609
GSM317350	0.00787903437718557	0	0.0443859506304997	0	0	0.0940375997037722	0	0	0	0.127889662081134	0	0	0	0.140653092266832	0.0694805042111669	0.36993355814491	0	0	0.145740598584499	0	0	0	0	0.554012119815094	0.846673434533498
GSM317351	0.0190847565307493	0	0.0283445008429068	0.0160961165167374	0	0.0574201591768344	0	0.00221600889771188	0.00390628750409924	0.149484261627803	0	0	0.018990189682805	0.275997747652076	0.0660739356423595	0.293529071568211	0	0	0.0381042604793609	0.0124441032511261	0	0.0183086006272196	0.001	0.502740214574969	0.86916255936471
GSM377368	0.105772703550101	0	0.0575980062283168	0.0250881418867657	0	0.0270033996797818	0	0.0511642167084385	0	0	0.0970939372755362	0	0.00983568296578219	0	0.0691078573354736	0.369152033250743	0.0639542985106859	0	0.0574750008823491	0.0625753548431908	0	0.00417936688283586	0.005	0.351003258988126	0.935925855410193
GSM377369	0.0691726880779894	0	0.0290283441457803	0.0589121631718407	0	0.0529314636938726	0	0.00265287420579424	0.0449577436673183	0	0.0444442047300546	0	0	0.0344580189399792	0.0503202257576695	0.400719832754648	0.102334808534613	0	0.110067632320441	0	0	0	0.003	0.402202309024664	0.915164922543051
